timesteps,nodes,techs,source_use_max
2019-01-01 00:00:00,netherlands,offshore_wind,0.5815
2019-01-01 00:00:00,netherlands,onshore_wind,0.4009
2019-01-01 00:00:00,netherlands,solar,0.0
2019-01-01 01:00:00,netherlands,offshore_wind,0.6078
2019-01-01 01:00:00,netherlands,onshore_wind,0.429
2019-01-01 01:00:00,netherlands,solar,0.0
2019-01-01 02:00:00,netherlands,offshore_wind,0.6329
2019-01-01 02:00:00,netherlands,onshore_wind,0.463
2019-01-01 02:00:00,netherlands,solar,0.0
2019-01-01 03:00:00,netherlands,offshore_wind,0.7024
2019-01-01 03:00:00,netherlands,onshore_wind,0.5017
2019-01-01 03:00:00,netherlands,solar,0.0
2019-01-01 04:00:00,netherlands,offshore_wind,0.725
2019-01-01 04:00:00,netherlands,onshore_wind,0.5305
2019-01-01 04:00:00,netherlands,solar,0.0
2019-01-01 05:00:00,netherlands,offshore_wind,0.7257
2019-01-01 05:00:00,netherlands,onshore_wind,0.5427
2019-01-01 05:00:00,netherlands,solar,0.0
2019-01-01 06:00:00,netherlands,offshore_wind,0.713
2019-01-01 06:00:00,netherlands,onshore_wind,0.5459
2019-01-01 06:00:00,netherlands,solar,0.0
2019-01-01 07:00:00,netherlands,offshore_wind,0.6656
2019-01-01 07:00:00,netherlands,onshore_wind,0.5253
2019-01-01 07:00:00,netherlands,solar,0.0
2019-01-01 08:00:00,netherlands,offshore_wind,0.6109
2019-01-01 08:00:00,netherlands,onshore_wind,0.504
2019-01-01 08:00:00,netherlands,solar,0.006
2019-01-01 09:00:00,netherlands,offshore_wind,0.5566
2019-01-01 09:00:00,netherlands,onshore_wind,0.4705
2019-01-01 09:00:00,netherlands,solar,0.052
2019-01-01 10:00:00,netherlands,offshore_wind,0.5485
2019-01-01 10:00:00,netherlands,onshore_wind,0.4459
2019-01-01 10:00:00,netherlands,solar,0.142
2019-01-01 11:00:00,netherlands,offshore_wind,0.5868
2019-01-01 11:00:00,netherlands,onshore_wind,0.4759
2019-01-01 11:00:00,netherlands,solar,0.234
2019-01-01 12:00:00,netherlands,offshore_wind,0.6209
2019-01-01 12:00:00,netherlands,onshore_wind,0.502
2019-01-01 12:00:00,netherlands,solar,0.26
2019-01-01 13:00:00,netherlands,offshore_wind,0.6594
2019-01-01 13:00:00,netherlands,onshore_wind,0.5205
2019-01-01 13:00:00,netherlands,solar,0.19
2019-01-01 14:00:00,netherlands,offshore_wind,0.7342
2019-01-01 14:00:00,netherlands,onshore_wind,0.5376
2019-01-01 14:00:00,netherlands,solar,0.069
2019-01-01 15:00:00,netherlands,offshore_wind,0.8132
2019-01-01 15:00:00,netherlands,onshore_wind,0.5821
2019-01-01 15:00:00,netherlands,solar,0.001
2019-01-01 16:00:00,netherlands,offshore_wind,0.848
